,Label,ID,Texte
0,N,998206424189751296,"On m’avait sorti (pour de vrai) « on est tous égaux mais plus on parle de racisme, plus les gens deviennent racistes » https://t.co/0xqxqv5m7F"
1,N,997896508384169984,"VIVE L AMOUR ❤VIVE LA PAIX
❤❤❤❤❤❤❤❤❤❤❤❤👏👍
ENTRE LES PEUPLES DU MONDE 
STOP AUX RACISTES👎
STOP AUX EXTRÉMISTES👎
VIVE LES ÉTATS-UNIS D EUROPE🇪🇺👍
TOUTES MES FÉLICITATIONS 
A MEGHAN ET AU PRINCE HARRY👍
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ https://t.co/eI976agYTR"
2,,31,J'me rend compte à quel point ya trop d'noir dans ma TL…enfait ya trop dnoir tout court jcrois ! Mdr
3,H,998519485467414529,@KrypsKarmaKid Tu traites qui de salope la seule salope@que je connai c’ta mère la pute sale@chien mtn stop parlzr avec toi tu va me vnr petite pute
4,H,997799245464899584,Voilà à quoi tu dois me servir sale pute ! Ta seule utilité... et maintenant c’est ton cul de pouf’ que je vais remplir de jus et tu vas gueuler telle une truie !!! https://t.co/6qqIH0HgRb
5,N,998262210836213761,"@kreespees @MarylinMaeso @jo_delb la mécanique raciste s’appuie sur 3 leviers :
1/ un processus de racisation qui consiste à définir un groupe et réduire l’ensemble des personnes qui le constituent aux stéréotypes dont on a besoin pour...
2/ ...construire l’altérité radicale qui sert de bouc émissaire à ses"
6,H,998002670194610176,"@Tiglli @alexiia3016 @ashtonqqch Perd pas ton tps a lui faire un paragraphe argumenté alors trou du  cul au lieu de la traité de merde sale fils de pute, et la je pense a ta mere."
7,,997791938110787584,"Ça me dégoute putain ... Serieux on voit au moins 4/5 videos comme ça par semaines j'en peux plus c'est abusé..

Toujours des femmes blanches en plus ces chiennes de raciste la https://t.co/1hp2jl8BmQ"
8,N,998160375978844161,L'ubris anti-colonialiste et anti-raciste de l'#UNEF les empêche de voir le conservatisme moral et droitard qu'il y a dans l'Islam. #Pougetoux
9,,5,Qu'ils crevent. Rien à foutre de tes putain de refugies.
10,N,997799338964344832,on me dit dans l’oreillette gauche qu’il n’est qu’un sale voleur mais on me dit cela dans l’oreille droite so what’s the truth https://t.co/E2DCNbGMdX
11,,998331174148870144,"Je suis éclatée les rebeu sous le tweet qui viennent dire que ça existe pas et que les arabes sont pas racistes MDR. ouvrez un peu vos yeux, assumez non ? https://t.co/83g6rdwZpa"
12,N,998236938015596544,@RMCsport n'oubliez pas que Lyon n'est pas encore qualifié en ldc....en attente d'une décision de l'UEFA pour propos raciste proche nazi contre le cska Moscou...vous n'en parlez pas??
13,N,998417651494944768,@OlivierRimmel @MbalaDieudo La France  atteint des sommets sur twitter en terme de gars qui dénoncent le racisme anti Noir et arabe...mais qui le font dans des buts politiques et qui oubli les autres persécutés.
14,N,997923219049984000,"@Nordengail @M_I_K_40 Alors moi je fais des cordons bleus de rital : veau ultra fin, speck, parmesan. C'est ultra bon, ma cuisson est parfaite."
15,N,998485948206903296,"La blague de l'année 2018. Succès garanti. Parfaite pour dîners mondains, beuveries entre potes, repas d'affaires, déjeuners familiaux:
""La @LFPfr mène une lutte sans merci contre le #racisme ""
#ACAHAC @Conforama @_LICRA_ @SOS_Racisme credits @B_Queneutte https://t.co/Z0odlF3mHE"
16,N,998119175292932097,"Mdr le lingala c'est une très belle langue uniquement pour lover, dans les sons rumbas et tout mais quand ça parle de sexe c'est tellement sale et sauvage 😭"
17,N,998108353149722624,#Premium #France 243 Reviews: Samsung Galaxy Edge Smartphone Débloqué  Ecran Pouces Simple Noir. Details: 0 Lollipop Capacité : 32 Go Ecran : 5. 1 pouces Réseau - Inf.. Best Sale Ranking on Amazon! [https://t.co/1D43gtrfbD] https://t.co/sSjgaF1qIc
18,,15,#unBonJuif est un juif dont on parle au passé
19,N,998213569924788224,"Hier aux nouvelles, on les voyait jouer les modérés, le bon peuple au secours des migrants réguliers.

Ne soyez pas dupes.  
Storm Alliance n'a rien de cela.
C'est un groupe... https://t.co/nVIoQgEsPn"
20,N,998122919543934976,En même temps le «  Blanc » contient toutes les couleurs ...meilleure preuve qu’il ne peut être raciste ... contrairement à son opposé qui peut l’être ! 😉 https://t.co/coQNzn0Xcm
21,N,998138078605856769,#Famous #People &amp; #Quote #Wrappingpaper  #Sale 30%off all @Quotegifts (Est1997) Ends Tue #Couponcode ZBIGMAYSALES @c/o @zazzle #giftwrap #fathersday #anyoccasion #greetingcards #WorldWide #shipping #us #ca #eu #uk #nz #jp #au #jp 🌏 #Free #Personalization https://t.co/lhrk1PWZsw https://t.co/cgdey26dws
